id,variant_number,position,question_text,explanation,correct_answers
790,1,8,"На рисунке изображён график линейной функции. Напишите формулу, которая задаёт эту линейную функцию.

[График прямой линии]","Формула линейной функции: y = kx + b.
1. Найдём **b** (пересечение с осью Y): график проходит через (0, -1), значит b = -1.
2. Найдём **k** (угловой коэффициент). Возьмём точки (0, -1) и (1, 1).
   k = (y2 - y1) / (x2 - x1) = (1 - (-1)) / (1 - 0) = 2 / 1 = 2.
3. Формула: y = 2x - 1.",y=2x-1 || y = 2x - 1
794,1,12,"Отметьте и подпишите на координатной прямой точки A (1,6), B (-9/7) и С (−2,75).

[Координатная прямая]","Нужно расположить точки на прямой.
*   A(1,6) - между 1 и 2, правее 1.5.
*   B(-9/7) = -1 2/7 ≈ -1.29. Находится между -1 и -2, ближе к -1.
*   C(−2,75) = -2 3/4. Находится между -2 и -3, ближе к -3.
Порядок слева направо: C, B, A.",[Рисунок]
810,2,12,"Отметьте и подпишите на координатной прямой точки A (4,69), B (-11/3) , C (−4,34).

[Координатная прямая]","Нужно расположить точки на прямой.
*   A(4,69) - между 4 и 5, ближе к 5.
*   B(-11/3) = -3 2/3 ≈ -3.67. Находится между -3 и -4, ближе к -4.
*   C(−4,34) - между -4 и -5, ближе к -4.
Сравнение B и C: -3.67 > -4.34. Значит, B правее C.
Порядок слева направо: C, B, A.",[Рисунок]
826,3,12,"Отметьте и подпишите на координатной прямой точки A(-2.3), B(10/3), C(-7/5).

[Координатная прямая]","Нужно расположить точки на прямой.
*   A(-2,3) - между -2 и -3, ближе к -2.
*   B(10/3) = 3 1/3 ≈ 3.33. Находится между 3 и 4, ближе к 3.
*   C(-7/5) = -1 2/5 = -1.4. Находится между -1 и -2, ближе к -1.
Порядок слева направо: A, C, B.",[Рисунок]
842,4,12,"Отметьте и подпишите на координатной прямой точки A (7/3), B (4,79) и C (−1,75 ).

[Координатная прямая]","Нужно расположить точки на прямой.
*   A(7/3) = 2 1/3 ≈ 2.33. Находится между 2 и 3, ближе к 2.
*   B(4,79) - между 4 и 5, ближе к 5.
*   C(−1,75) = -1 3/4. Находится между -1 и -2, ближе к -2.
Порядок слева направо: C, A, B.",[Рисунок]
858,5,12,"Отметьте и подпишите на координатной прямой точки A (-3 1/4), B (2 5/6), C (-2 3/7).

[Координатная прямая]","Нужно расположить точки на прямой.
*   A(-3 1/4) = -3.25. Находится между -3 и -4, ближе к -3.
*   B(2 5/6) ≈ 2.83. Находится между 2 и 3, ближе к 3.
*   C(-2 3/7) ≈ -2.43. Находится между -2 и -3, ближе к -2.
Сравнение A и C: -3.25 < -2.43. Значит, A левее C.
Порядок слева направо: A, C, B.",[Рисунок]
874,6,12,"Отметьте и подпишите на координатной прямой точки A(2,7), B(-5/3), C(9/4).

[Координатная прямая]","Нужно расположить точки на прямой.
*   A(2,7) - между 2 и 3, ближе к 3.
*   B(-5/3) = -1 2/3 ≈ -1.67. Находится между -1 и -2, ближе к -2.
*   C(9/4) = 2 1/4 = 2.25. Находится между 2 и 3, ближе к 2.
Сравнение A и C: 2.7 > 2.25. Значит, C левее A.
Порядок слева направо: B, C, A.",[Рисунок]
890,7,12,"Отметьте и подпишите на координатной прямой точки A(-1,9), B(5/2), C(-8/5).

[Координатная прямая]","Нужно расположить точки на прямой.
*   A(-1,9) - между -1 и -2, очень близко к -2.
*   B(5/2) = 2,5. Находится посередине между 2 и 3.
*   C(-8/5) = -1 3/5 = -1,6. Находится между -1 и -2, ближе к -2, но правее A (-1.6 > -1.9).
Порядок слева направо: A, C, B.",[Рисунок]
901,8,7,"На графике показано изменение температуры воздуха в течение дня. В 9:00 температура была 15°C, а в 12:00 она достигла 21°C. На сколько градусов повысилась температура за это время?

[График изменения температуры]","1. Температура в 12:00 = 21°C.
2. Температура в 9:00 = 15°C.
3. Повышение температуры = Температура(12:00) - Температура(9:00).
   Повышение = 21°C - 15°C = 6°C.
Ответ: на 6 градусов.",6
906,8,12,"Отметьте и подпишите на координатной прямой точки A(0,8), B(-11/5), C(13/10).

[Координатная прямая]","Нужно расположить точки на прямой.
*   A(0,8) - между 0 и 1, ближе к 1.
*   B(-11/5) = -2 1/5 = -2,2. Находится между -2 и -3, ближе к -2.
*   C(13/10) = 1 3/10 = 1,3. Находится между 1 и 2, ближе к 1.
Сравнение A и C: 0.8 < 1.3. Значит, A левее C.
Порядок слева направо: B, A, C.",[Рисунок]
